timestamp_us,ax,ay,az,gx,gy,gz
1777323587.404117,-0.04,-0.3,9.65,-0.04,-0.3,9.65
1777323587.4179506,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323587.4326174,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323587.4467921,-0.08,-0.15,9.69,-0.08,-0.15,9.69
1777323587.4591596,-0.08,-0.38,9.69,-0.08,-0.38,9.69
1777323587.4729419,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323587.487046,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323587.501036,-0.08,-0.27,9.73,-0.08,-0.27,9.73
1777323587.51404,-0.15,-0.38,9.65,-0.15,-0.38,9.65
1777323587.5279396,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323587.5420403,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323587.5561132,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323587.5690289,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323587.5829053,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323587.5970209,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323587.6110203,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323587.6240153,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323587.6379294,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323587.6520193,-0.11,-0.38,9.69,-0.11,-0.38,9.69
1777323587.6660416,-0.11,-0.23,9.65,-0.11,-0.23,9.65
1777323587.6800387,-0.08,-0.38,9.73,-0.08,-0.38,9.73
1777323587.6930413,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323587.707038,-0.15,-0.27,9.73,-0.15,-0.27,9.73
1777323587.7210405,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323587.735042,-0.04,-0.23,9.65,-0.04,-0.23,9.65
1777323587.748024,0.0,-0.27,9.77,0.0,-0.27,9.77
1777323587.7620473,-0.04,-0.23,9.65,-0.04,-0.23,9.65
1777323587.776039,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323587.7900596,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323587.803984,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323587.8179064,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323587.8320446,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323587.8460443,-0.11,-0.34,9.65,-0.11,-0.34,9.65
1777323587.8590474,-0.19,-0.34,9.69,-0.19,-0.34,9.69
1777323587.872898,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323587.8870442,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323587.9010477,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323587.9140449,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323587.9279087,-0.15,-0.42,9.65,-0.15,-0.42,9.65
1777323587.9420483,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323587.9560688,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323587.970059,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323587.9830537,-0.15,-0.27,9.69,-0.15,-0.27,9.69
1777323587.997054,-0.19,-0.38,9.69,-0.19,-0.38,9.69
1777323588.0110533,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323588.0250535,-0.04,-0.27,9.73,-0.04,-0.27,9.73
1777323588.038048,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323588.052054,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323588.0660543,-0.11,-0.42,9.69,-0.11,-0.42,9.69
1777323588.080052,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323588.0939908,-0.08,-0.34,9.65,-0.08,-0.34,9.65
1777323588.107887,-0.04,-0.15,9.73,-0.04,-0.15,9.73
1777323588.1220603,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323588.1360583,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323588.1490598,-0.11,-0.27,9.73,-0.11,-0.27,9.73
1777323588.1628606,0.0,-0.3,9.69,0.0,-0.3,9.69
1777323588.1770613,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323588.1910625,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323588.2040644,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323588.2179244,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323588.232068,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323588.2460625,-0.04,-0.19,9.77,-0.04,-0.19,9.77
1777323588.2600658,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323588.2730725,-0.19,-0.3,9.69,-0.19,-0.3,9.69
1777323588.287068,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323588.3010745,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323588.3150673,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323588.3280685,-0.04,-0.19,9.69,-0.04,-0.19,9.69
1777323588.3420684,-0.15,-0.38,9.65,-0.15,-0.38,9.65
1777323588.356069,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323588.370068,-0.08,-0.27,9.65,-0.08,-0.27,9.65
1777323588.3839777,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323588.3979077,-0.11,-0.19,9.65,-0.11,-0.19,9.65
1777323588.4120715,-0.19,-0.38,9.65,-0.19,-0.38,9.65
1777323588.426075,-0.08,-0.34,9.69,-0.08,-0.34,9.69
