angle,distance,unix_time
315.28125,1.736,1777067890.488565
316.46875,1.68375,1777067890.5073097
317.671875,1.6355,1777067890.5260544
318.875,1.601,1777067890.5447989
320.109375,1.563,1777067890.5635436
321.34375,1.5275,1777067890.5822883
322.46875,1.495,1777067890.601033
323.78125,1.46175,1777067890.6197777
324.96875,1.43525,1777067890.6385224
326.234375,1.409,1777067890.6572669
327.375,1.38125,1777067890.6760116
328.625,1.3565,1777067890.6947563
329.875,1.33525,1777067890.713501
331.046875,1.314,1777067890.7322457
332.234375,1.29625,1777067890.7509904
333.421875,1.2775,1777067890.7697349
334.6875,1.25775,1777067890.7884796
335.90625,1.24075,1777067890.8072243
337.0625,1.2265,1777067890.825969
338.265625,1.20875,1777067890.8447137
339.53125,1.1955,1777067890.8634582
340.734375,1.1815,1777067890.8822029
341.90625,1.17225,1777067890.9009476
343.109375,1.15975,1777067890.9196923
344.28125,1.19425,1777067890.938437
2.5,0.85525,1777067890.9571817
3.65625,0.8585,1777067890.9759262
4.96875,0.85875,1777067890.9946709
6.140625,0.8575,1777067891.0134156
7.3125,0.858,1777067891.0321603
8.46875,0.8585,1777067891.050905
9.703125,0.85725,1777067891.0696497
10.8125,0.858,1777067891.0883942
12.046875,0.85875,1777067891.1071389
13.265625,0.8585,1777067891.1258836
51.859375,1.47125,1777067891.1446283
53.03125,1.4995,1777067891.163373
54.15625,1.5165,1777067891.1821175
55.359375,1.54825,1777067891.2008622
56.546875,1.58125,1777067891.2196069
57.71875,1.6215,1777067891.2383516
58.953125,1.65775,1777067891.2570963
60.09375,1.70025,1777067891.275841
61.265625,1.75625,1777067891.2945855
62.421875,1.811,1777067891.3133302
63.625,1.86925,1777067891.3320749
64.8125,1.91275,1777067891.3508196
65.984375,1.9755,1777067891.3695643
67.15625,2.032,1777067891.388309
68.296875,2.10725,1777067891.4070535
69.46875,2.186,1777067891.4257982
70.625,2.26225,1777067891.444543
71.84375,2.282,1777067891.4632876
73.03125,2.259,1777067891.4820323
74.25,2.23525,1777067891.5007768
75.40625,2.209,1777067891.5195215
76.609375,2.20325,1777067891.5382662
77.84375,2.17575,1777067891.557011
79.046875,2.169,1777067891.5757556
80.21875,2.14925,1777067891.5945003
81.4375,2.14225,1777067891.6132448
82.625,2.121,1777067891.6319895
83.75,2.11775,1777067891.6507342
84.96875,2.1115,1777067891.669479
86.125,2.09125,1777067891.6882236
88.03125,1.00425,1777067891.7069683
89.328125,0.96625,1777067891.7257128
90.578125,0.951,1777067891.7444575
91.765625,0.9345,1777067891.7632022
93.0,0.93525,1777067891.781947
94.109375,0.929,1777067891.8006916
95.421875,0.91825,1777067891.819436
96.625,0.9205,1777067891.8381808
97.734375,0.9185,1777067891.8569255
98.984375,0.90775,1777067891.8756702
100.171875,0.90425,1777067891.894415
101.28125,0.91,1777067891.9131596
102.609375,0.901,1777067891.931904
103.75,0.883,1777067891.9506488
104.96875,0.8895,1777067891.9693935
106.078125,0.91275,1777067891.9881382
107.25,0.91375,1777067892.006883
108.5,0.91125,1777067892.0256276
109.640625,0.9195,1777067892.044372
110.859375,0.92525,1777067892.0631168
112.015625,0.93375,1777067892.0818615
113.21875,0.936,1777067892.1006062
114.359375,0.94425,1777067892.119351
115.5625,0.96275,1777067892.1380954
116.6875,0.998,1777067892.15684
121.953125,0.344,1777067892.1755848
122.671875,0.3555,1777067892.1943295
123.84375,0.36,1777067892.2130742
125.109375,0.36625,1777067892.231819
180.640625,0.734,1777067892.2505634
181.875,0.72075,1777067892.269308
183.125,0.70375,1777067892.2880528
184.28125,0.7035,1777067892.3067975
185.328125,0.727,1777067892.3255422
189.84375,3.01225,1777067892.344287
191.03125,3.01725,1777067892.3630314
192.203125,2.99175,1777067892.381776
193.40625,3.01725,1777067892.4005208
194.609375,3.02125,1777067892.4192655
195.796875,3.02175,1777067892.4380102
197.0,3.0365,1777067892.4567547
198.1875,3.05325,1777067892.4754994
199.390625,3.06425,1777067892.494244
200.609375,3.07375,1777067892.5129888
201.78125,3.085,1777067892.5317335
202.953125,3.124,1777067892.5504782
204.125,3.138,1777067892.5692227
205.3125,3.151,1777067892.5879674
206.515625,3.18275,1777067892.606712
207.703125,3.18925,1777067892.6254568
208.890625,3.21025,1777067892.6442015
210.09375,3.24775,1777067892.6629462
211.265625,3.27425,1777067892.6816907
212.46875,3.29,1777067892.7004354
213.65625,3.34025,1777067892.71918
214.84375,3.37925,1777067892.7379248
216.046875,3.26175,1777067892.7566695
217.25,3.26375,1777067892.775414
218.453125,3.3095,1777067892.7941587
225.875,0.4615,1777067892.8129034
227.3125,0.45675,1777067892.831648
228.296875,0.46025,1777067892.8503928
229.59375,0.4625,1777067892.8691375
230.984375,0.45875,1777067892.887882
231.953125,0.45475,1777067892.9066267
233.125,0.45475,1777067892.9253714
234.609375,0.45875,1777067892.944116
235.703125,0.46625,1777067892.9628608
238.34375,0.62175,1777067892.9816055
239.546875,0.619,1777067893.00035
240.640625,0.62825,1777067893.0190947
241.84375,0.628,1777067893.0378394
243.0,0.6425,1777067893.0565841
244.328125,0.6385,1777067893.0753288
245.375,0.63725,1777067893.0940733
246.765625,0.63525,1777067893.112818
247.90625,0.6195,1777067893.1315627
249.09375,0.60075,1777067893.1503074
250.4375,0.5885,1777067893.1690521
251.703125,0.599,1777067893.1877968
252.921875,0.5905,1777067893.2065413
253.9375,0.59725,1777067893.225286
255.25,0.58375,1777067893.2440307
256.421875,0.5925,1777067893.2627754
257.5625,0.57475,1777067893.2815201
258.765625,0.5805,1777067893.3002648
260.0625,0.5775,1777067893.3190093
261.171875,0.579,1777067893.337754
262.375,0.58025,1777067893.3564987
263.484375,0.58625,1777067893.3752434
264.625,0.6015,1777067893.3939881
314.34375,1.76975,1777067893.4127326
315.546875,1.7305,1777067893.4314773
316.75,1.66725,1777067893.450222
317.984375,1.6305,1777067893.4689667
319.1875,1.588,1777067893.4877114
320.421875,1.54975,1777067893.5064561
321.625,1.52375,1777067893.5252006
322.84375,1.48575,1777067893.5439453
324.109375,1.45375,1777067893.56269
325.296875,1.429,1777067893.5814347
326.484375,1.40375,1777067893.6001794
327.671875,1.37425,1777067893.6189241
328.921875,1.3515,1777067893.6376686
330.109375,1.331,1777067893.6564133
331.359375,1.31,1777067893.675158
332.578125,1.2895,1777067893.6939027
333.71875,1.27625,1777067893.7126474
334.984375,1.2545,1777067893.731392
336.203125,1.2365,1777067893.7501366
337.34375,1.222,1777067893.7688813
338.5625,1.2075,1777067893.787626
339.78125,1.192,1777067893.8063707
341.046875,1.179,1777067893.8251154
342.25,1.1695,1777067893.84386
343.421875,1.1565,1777067893.8626046
2.859375,0.85925,1777067893.8813493
4.078125,0.85875,1777067893.900094
5.28125,0.858,1777067893.9188387
6.359375,0.85825,1777067893.9375834
7.5625,0.858,1777067893.956328
8.765625,0.858,1777067893.9750726
10.015625,0.85775,1777067893.9938173
11.203125,0.85775,1777067894.012562
12.328125,0.858,1777067894.0313067
13.546875,0.859,1777067894.0500512
14.75,0.8595,1777067894.068796
51.09375,1.4315,1777067894.0875406
52.203125,1.4595,1777067894.1062853
53.453125,1.4915,1777067894.12503
54.59375,1.5255,1777067894.1437747
55.765625,1.559,1777067894.1625192
56.953125,1.594,1777067894.181264
58.09375,1.63225,1777067894.2000086
59.34375,1.674,1777067894.2187533
60.515625,1.71725,1777067894.237498
61.640625,1.77425,1777067894.2562428
62.84375,1.83175,1777067894.2749872
64.015625,1.8735,1777067894.293732
65.21875,1.9365,1777067894.3124766
66.359375,1.99875,1777067894.3312213
67.515625,2.06,1777067894.349966
68.734375,2.1345,1777067894.3687105
69.875,2.21375,1777067894.3874552
71.078125,2.29225,1777067894.4062
72.25,2.26725,1777067894.4249446
73.46875,2.2535,1777067894.4436893
74.640625,2.23375,1777067894.462434
75.875,2.20675,1777067894.4811785
77.078125,2.19225,1777067894.4999232
78.25,2.17025,1777067894.518668
79.4375,2.1565,1777067894.5374126
80.640625,2.14675,1777067894.5561574
81.84375,2.1205,1777067894.574902
83.03125,2.1145,1777067894.5936465
84.203125,2.09925,1777067894.6123912
85.375,2.1115,1777067894.631136
87.375,1.007,1777067894.6498806
88.578125,0.97,1777067894.6686254
89.828125,0.93875,1777067894.6873698
90.984375,0.944,1777067894.7061145
92.28125,0.93475,1777067894.7248592
93.421875,0.93,1777067894.743604
94.625,0.92025,1777067894.7623487
95.90625,0.91825,1777067894.7810934
97.03125,0.91925,1777067894.7998378
98.28125,0.9155,1777067894.8185825
99.484375,0.90325,1777067894.8373272
100.640625,0.9125,1777067894.856072
101.828125,0.90775,1777067894.8748167
102.953125,0.9135,1777067894.8935614
104.265625,0.88225,1777067894.9123058
105.453125,0.909,1777067894.9310505
106.609375,0.91375,1777067894.9497952
107.75,0.909,1777067894.96854
108.953125,0.91275,1777067894.9872847
110.109375,0.92225,1777067895.0060291
111.28125,0.927,1777067895.0247738
112.5,0.93,1777067895.0435185
113.671875,0.93975,1777067895.0622633
114.8125,0.94975,1777067895.081008
115.953125,0.975,1777067895.0997527
121.484375,0.341,1777067895.1184971
122.515625,0.34475,1777067895.1372418
123.203125,0.35825,1777067895.1559865
124.84375,0.35825,1777067895.1747313
125.703125,0.364,1777067895.193476
181.078125,0.72975,1777067895.2122207
182.265625,0.72075,1777067895.2309651
183.625,0.701,1777067895.2497098
184.6875,0.7215,1777067895.2684546
185.890625,0.7355,1777067895.2871993
189.203125,3.0115,1777067895.305944
190.390625,3.01375,1777067895.3246884
191.609375,3.01225,1777067895.3434331
192.796875,3.01325,1777067895.3621778
194.0,3.02075,1777067895.3809226
195.203125,3.02875,1777067895.3996673
196.390625,3.0315,1777067895.418412
197.59375,3.05275,1777067895.4371564
198.78125,3.06375,1777067895.4559011
199.96875,3.068,1777067895.4746459
201.1875,3.08725,1777067895.4933906
202.390625,3.097,1777067895.5121353
203.546875,3.1265,1777067895.53088
204.734375,3.1375,1777067895.5496244
205.953125,3.15475,1777067895.5683692
207.15625,3.1965,1777067895.5871139
208.359375,3.2025,1777067895.6058586
209.53125,3.24975,1777067895.6246033
210.734375,3.259,1777067895.6433477
211.921875,3.2925,1777067895.6620924
213.109375,3.32725,1777067895.6808372
214.3125,3.3725,1777067895.6995819
215.515625,3.269,1777067895.7183266
216.71875,3.26475,1777067895.7370713
217.921875,3.26575,1777067895.7558157
225.5625,0.46375,1777067895.7745605
226.640625,0.459,1777067895.7933052
227.828125,0.45875,1777067895.8120499
229.21875,0.46225,1777067895.8307946
230.421875,0.46,1777067895.8495393
231.59375,0.45625,1777067895.8682837
232.765625,0.45625,1777067895.8870285
233.90625,0.4575,1777067895.9057732
235.203125,0.46125,1777067895.9245179
236.046875,0.4845,1777067895.9432626
237.859375,0.639,1777067895.962007
